payment_amount,fine_amount,amount_due,plate,interest_amount,issuing_agency,violation,summons_number,violation_time,penalty_amount,precinct,judgment_entry_date,reduction_amount,violation_status,county,issue_date,summons_image,state,license_type
20,35,0,87422JV,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257023486,01:16P,0,103,,15,HEARING HELD-GUILTY REDUCTION,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxOZWxFMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,FDF6335,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257023723,01:22P,0,106,,0,,Q,04/30/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxOZW1ONVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,2V25A,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8257024107,01:35P,0,103,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPUkVWM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
92,115,0,88502JU,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8257024193,03:19P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPUkVVMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,33922TW,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257025276,05:53P,0,104,,0,,Q,05/05/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPVkVrelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,TOW
105,115,0,85884MD,0,TRAFFIC,NO STANDING-BUS STOP,8257025409,01:36P,0,112,,10,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPVkZGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,85884MD,0,TRAFFIC,NO STANDING-BUS STOP,8257025549,04:59P,0,112,,10,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPVkZVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,DCN7827,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257025896,05:01P,0,112,,0,,Q,05/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPVkdjMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
20,35,0,90978JX,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257025987,03:56P,0,104,,15,HEARING HELD-GUILTY REDUCTION,Q,05/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPVkdzMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
92,115,0,42860JM,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8257026189,03:25P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPYWtVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
92,115,0,42909JM,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8257026220,04:29P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPYWtsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
0,35,0,DZJ7379,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257026566,01:47P,0,107,,35,HEARING HELD-NOT GUILTY,Q,05/14/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPYWxVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GXF4088,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257026724,01:06P,0,106,,35,HEARING HELD-NOT GUILTY,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPYW1ONVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,FRH9324,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257026864,04:14P,0,106,,0,HEARING PENDING,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPYW1jeVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,T641535C,0,TRAFFIC,EXPIRED MUNI METER,8257027613,04:11P,0,104,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPZWxsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
35,35,0,GVG1992,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257027637,04:30P,0,104,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPZWxsNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,DYN3390,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257027662,04:48P,0,104,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxPZWxreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GPN3409,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257028034,04:04P,0,112,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxQUkVGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,VGC3451,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8257506746,01:02P,0,103,,0,HEARING HELD-GUILTY,Q,02/22/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGRPYW1Nd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",VA,PAS
125,115,0,62017MA,0,TRAFFIC,CROSSWALK,8257508846,01:14P,10,112,,0,HEARING HELD-GUILTY,Q,03/03/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGRQUkdjd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
,,,V246584,,,,8759483581,,,,,,,,07/10/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VOVVVVFJOZWxVMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
75,65,0,FLW8008,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8257513283,07:50A,10,103,,0,,Q,04/01/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhOZWtrMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
75,65,0,GXR1519,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8257515036,04:49P,10,102,,0,,Q,04/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhPVkVGNlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GEA7108,0,TRAFFIC,EXPIRED MUNI METER,8257517264,04:25P,10,106,,10,,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhPZWtreVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GCY6140,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8257517768,01:42P,0,102,,0,HEARING HELD-GUILTY,Q,04/30/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhPZW1NeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,FSB6724,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257518098,05:26P,0,107,,35,HEARING HELD-NOT GUILTY,Q,05/03/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhQUkVFMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,HGF1741,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8257519080,05:37P,0,101,,0,,Q,05/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhQVkVFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,T682528C,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257519728,03:42P,0,105,,0,HEARING PENDING,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhQVkdONVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
35,35,0,Z40FTE,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257519730,03:46P,0,105,,0,HEARING PENDING,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGhQVkdONlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
0,65,0,FSH5277,0,TRAFFIC,FRONT OR BACK PLATE MISSING,8257520214,03:42P,0,113,,65,HEARING HELD-NOT GUILTY,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZWWGxOUkVsNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GLB474,0,TRAFFIC,EXPIRED MUNI METER,8258001048,05:38P,0,104,,0,,Q,01/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGROVkVFd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",VT,PAS
35,35,0,CL657,0,TRAFFIC,EXPIRED MUNI METER,8258004750,05:58P,0,105,,0,,Q,02/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGRPUkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",RI,PAS
65,35,0,FCW5673,0,TRAFFIC,EXPIRED MUNI METER,8258006502,02:51P,30,103,,0,,Q,02/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGRPYWxWM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,35,0,FHM4457,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258011984,03:09P,10,102,,0,,Q,03/25/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGhOVkdzMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,787071,,,,1139480364,,,,,,,,05/08/2008,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSRmVrOVVVVFJOUkUweVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",RI,PAS
0,60,0,GTK8424,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8258016106,03:14P,0,112,,60,HEARING HELD-NOT GUILTY,Q,04/24/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGhPYWtWM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,HBY6402,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8258016696,04:35P,0,103,,0,,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGhPYWxrMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GFL1311,0,TRAFFIC,EXPIRED MUNI METER,8258016933,12:38P,0,103,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGhPYW10NlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,DZK5982,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8258017160,02:15P,0,106,,0,HEARING PENDING,Q,05/24/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVRWGhPZWtVeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
90,60,0,FMS3114,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8258513369,10:20P,30,102,,0,,Q,02/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGhOZWsweVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,35,0,K4X639,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258513930,01:47P,30,106,,0,,Q,03/03/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGhOZW10NlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,35,0,HBY6744,0,TRAFFIC,EXPIRED MUNI METER,8258515974,08:24P,30,112,,0,,Q,03/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGhPVkdzelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,AGV8702,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8258519748,10:47A,0,105,,0,,Q,05/05/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGhQVkdNd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
20,35,0,44887MH,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258520568,02:49P,0,103,,15,HEARING HELD-GUILTY REDUCTION,Q,05/07/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOUkZVeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
20,35,0,60309MD,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258520970,02:48P,0,104,,15,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOUkdzelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
0,35,0,GVA8873,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258521070,02:10P,0,103,,35,HEARING HELD-NOT GUILTY,Q,05/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOVkVFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
105,115,0,42909JM,0,TRAFFIC,NO STANDING-BUS STOP,8258521342,01:09P,0,103,,10,HEARING HELD-GUILTY REDUCTION,Q,05/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOVkUwd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,FTT5403,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258521962,12:30P,0,106,,0,HEARING PENDING,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOVkdzeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,HFK2530,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8258521986,01:15P,0,106,,0,HEARING PENDING,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOVkdzMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GNB8928,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258522140,04:41P,0,106,,35,HEARING HELD-NOT GUILTY,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWtVd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,FDC3066,0,TRAFFIC,NO PARKING-EXC. AUTH. VEHICLE,8258522220,01:19P,0,112,,0,HEARING PENDING,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWtsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GSH3285,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258522449,02:38P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxFd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,CWK1552,0,TRAFFIC,EXPIRED MUNI METER,8258522462,02:50P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxFeVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GZM6774,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258522516,04:23P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxWNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,BTU1196,0,TRAFFIC,EXPIRED MUNI METER,8258522668,02:29P,0,112,,0,HEARING PENDING,Q,05/19/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOYWxreVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GSN6226,0,TRAFFIC,EXPIRED MUNI METER,8258523272,05:47P,0,103,,0,HEARING PENDING,Q,05/21/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOZWtrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,CLW6705,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8258523442,12:57P,0,103,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOUVWWGxOZWxFd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
125.8,65,0,EMD8221,0.92,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8259005037,01:32P,60,104,04/28/2016,0.12,,Q,01/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGRPVkVGNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
95,35,0,FJZ5249,0.05,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259008476,06:31P,60,102,05/26/2016,0.05,,Q,02/10/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGRQUkZFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,GNE7829,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259010823,06:18P,30,103,,65,HEARING HELD-NOT GUILTY,Q,02/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhOUkdkNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
145,115,0,GXC1022,0,TRAFFIC,NO STANDING-BUS STOP,8259012870,06:12P,30,103,,0,,Q,03/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhOYW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,GXN2609,0,TRAFFIC,NO PARKING-STREET CLEANING,8259015043,09:44A,10,102,,0,,Q,04/08/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPVkVFd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,DUG7582,0,TRAFFIC,NO PARKING-STREET CLEANING,8259015810,09:12A,10,112,,0,,Q,04/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPVkdkNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,FJB3788,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259016916,03:40P,10,112,,45,HEARING HELD-NOT GUILTY,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPYW10NFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GPH9703,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8259017052,03:06P,0,112,,0,HEARING HELD-GUILTY,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPZWtFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
20,35,0,42448MH,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259017209,03:28P,0,106,,15,HEARING HELD-GUILTY REDUCTION,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVRWGhPZWtsM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
175.72,115,0,GYK3884,0.72,TRAFFIC,DOUBLE PARKING,8259500620,06:06P,60,103,03/24/2016,0,,Q,12/07/2015,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROUkZsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,FXB7703,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8259503610,05:55A,0,107,,0,APPEAL AFFIRMED,Q,02/04/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROZWxsNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,FXB7703,0,TRAFFIC,CROSSWALK,8259503621,05:57A,0,107,,0,APPEAL AFFIRMED,Q,02/04/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGROZWxsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,GYM9019,0,TRAFFIC,NO PARKING-STREET CLEANING,8259504765,09:06A,0,103,,0,,Q,02/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGRPUkdNeVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMS
,,,HYB7989,,,,8759483702,,,,,,,,07/14/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VOVVVVFJOZW1OM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,51577MG,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8259510110,02:36P,0,104,,0,HEARING HELD-GUILTY,Q,03/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOUkVWNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
115,115,0,70063MA,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8259510704,10:08A,0,103,,0,HEARING HELD-GUILTY,Q,03/19/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOUkdOM1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
45,35,0,FCM3617,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259512919,06:35P,10,103,,0,,Q,04/15/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOYW10NFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,HFB9199,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8259513638,01:56P,10,107,,10,,Q,04/22/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOZWxsNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,EDP1735,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259513894,05:57P,10,104,,45,HEARING HELD-NOT GUILTY,Q,04/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhOZW1jMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,FGY1993,0,TRAFFIC,EXPIRED MUNI METER,8259514242,04:19P,0,103,,35,HEARING HELD-NOT GUILTY,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPUkVrd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,ELH7457,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259514631,02:52P,0,112,,0,HEARING HELD-GUILTY,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPUkZsNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,DRF8071,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8259515313,12:58P,0,112,,0,,Q,05/05/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VOVVWWGhPVkUxNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
